1,Kuro,{0\,-800},1.0,1
5,EvilEye,{800\,0},1.0,1
0.001,EvilEye,{565.685\,565.685},1.0,1
0.001,EvilEye,{4.89859e-14\,800},1.0,1
0.001,EvilEye,{-565.685\,565.685},1.0,1
0.001,EvilEye,{-800\,9.79717e-14},1.0,1
0.001,EvilEye,{-565.685\,-565.685},1.0,1
0.001,EvilEye,{-1.46958e-13\,-800},1.0,1
0.001,EvilEye,{565.685\,-565.685},1.0,1
60,EvilEye,{800\,0},1.0,1
0.001,EvilEye,{565.685\,565.685},1.0,1
0.001,EvilEye,{4.89859e-14\,800},1.0,1
0.001,EvilEye,{-565.685\,565.685},1.0,1
0.001,EvilEye,{-800\,9.79717e-14},1.0,1
0.001,EvilEye,{-565.685\,-565.685},1.0,1
0.001,EvilEye,{-1.46958e-13\,-800},1.0,1
0.001,EvilEye,{565.685\,-565.685},1.0,1
